Item name,Quantity,Price,Use,Misc ,Link
2020 Extrusion,4,26,Vertical frame part for tophat,150mm,https://us.misumi-ec.com/vona2/detail/110302683830/?CategorySpec=00000042730%3A%3Amig00000001495349%0900000042737%3A%3Ab%0900000332694%3A%3A150&searchFlow=results2products&KWSearch=20x20+aluminum+extrusion&list=PageCategory&tab=drawingAndSpecifications&Page=1&seriesCode=110302683830
2020 Extusion,2,16,X directiion frame part for tophat,500mm,https://us.misumi-ec.com/vona2/detail/110302683830/?CategorySpec=00000042730%3A%3Amig00000001495349%0900000042737%3A%3Ab%0900000332694%3A%3A500&searchFlow=results2products&KWSearch=20x20+aluminum+extrusion&list=PageCategory&seriesCode=110302683830&tab=drawingAndSpecifications&Page=1
4020 Extrusion,2,34,Support for Y axis,555mm,https://us.misumi-ec.com/vona2/detail/110302684350/?CategorySpec=00000042730%3A%3Amig00000001508523%2Cmig00000001423218%0900000042737%3A%3Ab%0900000332699%3A%3A555&list=PageCategory&seriesCode=110302684350&tab=drawingAndSpecifications&Page=1
2020 Extrusion,4,17,Y directioin frame for tophat,515mm,https://us.misumi-ec.com/vona2/detail/110302683830/?CategorySpec=00000042730%3A%3Amig00000001495349%0900000042737%3A%3Ab%0900000332694%3A%3A150&searchFlow=results2products&KWSearch=20x20+aluminum+extrusion&list=PageCategory&tab=drawingAndSpecifications&Page=1&seriesCode=110302683830
Strucutral panels,3,120,"Reinforcement for printer, price is quoted","11GA, appprox 550x550 each",https://www.industrialmetalsupply.com/
ACM panels,2,75,Lightweight but durable panels for containment and protection,"1/8in thick, 24x24 ea",https://www.homedepot.com/p/Falken-Design-24-in-x-24-in-x-1-8-in-Thick-Aluminum-Composite-ACM-White-Sheet-Falken-Design-ACM-WT-1-8-2424/308670315
12032 Blowers,2,35,"High power blowers for chamber heater, opted for reliable brand since these failing is a massive hazard and this was the cheapest source anyway, even  cheaper than aliexpress",,https://west3d.com/products/12032-dc-24v-120x120x32-centrifugal-blower-fan-gdb1232-dual-ball-bearing-3100rpm-5a-xh2-54?_pos=1&_sid=9154724e8&_ss=r
MGN12H rail,1,30,"X axis, im not cutting corners for a cheap rail that will completely fall apart at operating temps",400MM,https://west3d.com/products/west3d-printing-mgn12h-1r-300-350-400-linear-rails-with-carriages?variant=42096413376724
MGN9H rails,2,85,"Y axis, once again, these are the cheapest rails that work for this application.",450MM,https://west3d.com/products/west3d-printing-mgn9h-1r-300-350-400-linear-rails-with-carriages-cna?variant=44207065596116
PTC heaters,2,40,"couldn't source cheaper on ali, these also have builtin thermal protection",500W ea,https://www.amazon.com/KooingTech-Elements-Suitable-Conditioning-Humidifier/dp/B0DK1MFJ4F/ref=sr_1_2_sspa?crid=1TQJ9FW3SRPH5&dib=eyJ2IjoiMSJ9.lllNRR56k9TerP-4-Rgb1P4rCW504JTCKvDjqNHB7HHroE0q3g-lDyGmlnvwiYQYuN9yyZM8qsJMq6M0OSr4GxmCUk4JmiYdrTTcUlv0NalL6Rm7GQy7n698IjAODntnGWZJmC07hn6bznZ5K0Upvy465Zb3rQd-sSzY3lc1VJr6Hsr05kMFaLW0mpB1YI_BwymgAxIJgmCfZT6OeCwcf7m1UuNTDlwGQ7q50zFZh2-10e707UbR-DmyCD2X6ZWYO-8yZ7OGfwzu5cVhD5uujcAxr43QY2n16Fa4lIJ_cvM.WewEvav4UNGoH9n0cva3BV6UdQY57PF_4YCAMza_Y48&dib_tag=se&keywords=ptc+heater+500w&qid=1783746330&sprefix=ptc+heater+500w%2Caps%2C226&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Server grade 120MM fans,2,25,"cheaper than on ali, 4 pin required as a safety incase a fan fails, conventional 2 pin fans will nor report their temps back, higher performance is needed for these to vent large chamber and to survive the higher temperature chamber","12V, 4 pin ",https://www.amazon.com/ARCTIC-ACFAN00294A-S12038-8K/dp/B09VGS3LND/ref=sr_1_3?crid=21OQ4VRDG88O6&dib=eyJ2IjoiMSJ9.ZBqGgz3_w4VTQ-mRFFRa4dHDeYPKcpAui5MLy0-qMv17xbUX-XR0cqDEK4Y-Rfez_k5C_jR9RqHgWXNe18MX9VuLsp52Wc1aYB-cq0E9v_fdZP5ymaDn0xztCwti9_89hTcBmudnL5GMA4b5QF0AIgCRQHjN6Sd8WcPzlaYQ5F5r7WByoo0sSQqft4193fJITf2v0lTXVeZhal4OvwB6ArSWbxIbHGT-wa6zVMJnFEg.J_MXg6uocbCDNK-OyfkTsNrpo890tcQvhj5-IYgl3Oc&dib_tag=se&keywords=120mm%2Bdelta%2Bfan&qid=1783746546&sprefix=120mm%2Bdelta%2Bfan%2Caps%2C222&sr=8-3&th=1
Odrive clones,2,95,"significantly cheaper than ali, cannot use the 2 axis one due to current spike dampening, brake resistor requirements, heat dissipation, and bandwidth",56V version,https://sequremall.com/products/odesc-v4-2-single-drive-high-current-high-precision-brushless-servo-motor-controller-based-on-odrive3-6-upgrade-software-configuration-compatible-with-odrivetool-foc-bldc?variant=42740269580476
"9MM gates GT3, closed loop",2,0,"RF belts/powge or any generic brand will literally melt inside the chamber. not only that they'll snap too, even gates gt2 belts. even open loop GT3 are at their limit, fortunately closed loop bearings have continously run fibers, that greatly increase the strength and performance, and the lack of spiral cutting means the teeth mesh extremely well, which is very important with longer runs. ",2.4 meter ea,sponsored
1KW heater pad,1,40,Heats the bed for printing (why is this the only part that's cheaper on ali TwT),"1KW, 110V",https://www.aliexpress.us/item/3256801818818328.html?spm=a2g0o.productlist.main.1.42322ed9As7Iqg&algo_pvid=58ac83e7-5976-458b-bd35-1ca212132617&algo_exp_id=58ac83e7-5976-458b-bd35-1ca212132617-0&pdp_ext_f=%7B%22order%22%3A%2254%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2145.02%2137.07%21%21%2145.02%2137.07%21%402101d6fe17837469882731115e01f9%2112000018385503410%21sea%21US%213026219538%21X%211%210%21n_tag%3A-29919%3Bd%3A69f49312%3Bm03_new_user%3A-29895%3BpisId%3A5000000204411062&curPageLogUid=rsfnmQlWYFZk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002005133080%7C_p_origin_prod%3A
Thermal fuses,3,5,Fuses to protect any mains powered devices in the event thermal runaway happens,rated for 150C (good for 250V and 15A each),https://west3d.com/products/125c-cutoff-15a-thermal-fuse?_pos=1&_sid=23644cd09&_ss=r
Build plate,1,55,Build plate to lay down hot plastic on for printing,"Cheaper than on ali, generic textured build surface",https://www.amazon.com/Plus%E3%80%90Double-Textured-Sheet%E3%80%91Flexible-%E3%80%90377x370mm-14-84x14-56inch%E3%80%91/dp/B09MMW4K8N/ref=sr_1_3?crid=13QH3OK3ACQQC&dib=eyJ2IjoiMSJ9.2NROqPReOhdo1UI5_V_G-y4zrRbw380sHLm3-g3AOMIRFHgX5upofPAE3SVORfn87I8Eo80pDnOR9hl1_H8-5oBVsx0oUvOxKdRJlS4llsWBpCXwcHPONaVy71mXK2csOgo9fOIg7eKAnjiED_rIi47wJqKX21WCrNkIdBPR-aWguPCg8oBdZ0r3PLEJ7E-fq3puiatzrnDlGe5tWhSYyOHf23blH0VORVGPXJwbGyw.-C4PH9PqCDMB2Tz2PxqVAdz7jpypwmZsJL6mkorpOfg&dib_tag=se&keywords=ender%2B5%2Bplus%2Bbuild%2Bplate&qid=1783747419&sprefix=ender%2B5%2Bplus%2Caps%2C205&sr=8-3&th=1
F695 NMB,35,90,Bearings for motion system,"2.50 ea; Why so expensive? This is the cheapest supplier for APPROPRIATE bearings that are suitable for the extreme operating conditions in the printer. 80C is already extremely hard on the bearings. Paired with intense static radial loads, 45,000 RPMs generating massive amounts of heat from friction, plus the intense shocks from the gantry flinging around 5G, this is less of a splurge, and more like a bare minimum. any lesser/cheaper and the gantry will seize in a matter of minutes. ",https://lettucehead3d.com/product/nmb-f695-ddrf-1350zz-bearings/
695 NMB,10,25,Bearings for motion system,"2.30 ea; Why so expensive? This is the cheapest supplier for APPROPRIATE bearings that are suitable for the extreme operating conditions in the printer. 80C is already extremely hard on the bearings. Paired with intense static radial loads, 45,000 RPMs generating massive amounts of heat from friction, plus the intense shocks from the gantry flinging around 5G, this is less of a splurge, and more like a bare minimum. any lesser/cheaper and the gantry will seize in a matter of minutes. ",https://lettucehead3d.com/product/nmb-f695-ddrf-1350zz-bearings/
Gates 2gt 20T pulleys 9mm,4,14,"Pulleys, drive the belts","3.50 ea; Gates is the only supplier that uses gate's curvelinear belt profile that actually matches the belts. Conventionally, the circular profile is ok for lower speeds/tensions, but with GT3 and speeds of over 3000mm/s, this will quickly shred the belts into rubber dust. It happpened with panda v1.",https://lettucehead3d.com/product/gates-2gt-pulleys/
Dehubbed Gates 2gt 20T pulleys 9mm,4,24,"Pulleys, drive the belts, the dehubbed ones are specially modified to fit tight areas","5.50 ea; Gates is the only supplier that uses gate's curvelinear belt profile that actually matches the belts. Conventionally, the circular profile is ok for lower speeds/tensions, but with GT3 and speeds of over 3000mm/s, this will quickly shred the belts into rubber dust. It happpened with panda v1.",https://lettucehead3d.com/product/dehubbed-10-9mm-gates-gt2-pulley/
BMG extruder gear kit,1,7,Extruder pushes filament into hotend,,https://www.aliexpress.us/item/3256807729482253.html?spm=a2g0o.productlist.main.8.14712fafCcsuhj&aem_p4p_detail=2026071023151514241764503674400008694670&algo_pvid=61d38d22-54e8-4655-bc94-4c31fa8ae766&algo_exp_id=61d38d22-54e8-4655-bc94-4c31fa8ae766-7&pdp_ext_f=%7B%22order%22%3A%22755%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.42%210.99%21%21%2123.11%216.73%21%40210319b717837505157358270ebd14%2112000057617644584%21sea%21US%213026219538%21X%211%210%21n_tag%3A-29919%3Bd%3A69f49312%3Bm03_new_user%3A-29895%3BpisId%3A5000000204411062&curPageLogUid=lMcH3yiUaZYU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007915797005%7C_p_origin_prod%3A&search_p4p_id=2026071023151514241764503674400008694670_2
Polyiso Foam,1,25,Insulation for chamber,"4x8 feet, 0.5in thick; any other foam like styrofoam lacks adequate flame retardance or heat resistance to survive.",https://www.lowes.com/pd/Johns-Manville-Common-0-5-in-x-4-ft-x-8-ft-Actual-0-5-in-x-4-ft-x-8-ft-AP-Foil-1-R-2-7-Faced-Polyisocyanurate-Foam-Board-Insulation/3851113
M3X0.5 - A2 Stainless DIN 912 - Allen Socket Head Cap Screw,70,4.9,,,https://belmetric.com/m3x0-5-a2-stainless-din-912-allen-socket-head-cap-screw/
M5X0.8 Button Head Cap Screw - A2 Stainless ISO 7380-1,65,6.5,,,https://belmetric.com/m5x0-8-button-head-cap-screw-a2-stainless-iso-7380-1/
M5X0.8 Button Head Cap Screw - A2 Stainless ISO 7380-1,30,10.2,,,https://belmetric.com/m5x0-8-button-head-cap-screw-a2-stainless-iso-7380-1/
M5X0.8 Button Head Cap Screw - A2 Stainless ISO 7380-1,50,6,,,https://belmetric.com/m5x0-8-button-head-cap-screw-a2-stainless-iso-7380-1/
M5X0.8 Button Head Cap Screw - A2 Stainless ISO 7380-1,35,4.55,,,https://belmetric.com/m5x0-8-button-head-cap-screw-a2-stainless-iso-7380-1/
Shipping for fasteners,1,17,they dont have free shipping :pensive:,,https://belmetric.com/
Beacon RevH- used,1,45,High resolution eddy current scanner for bed probing -  the BTT eddy cannot be used here as the chamber temp will melt it. ,purchasing from a local friend,dne
60T pulley 3gt 10mm width,2,40,Reduction pulley for gantry,,https://www.amazon.com/Pitch-Timing-Pulley-Synchronous-Wheel/dp/B07RQLLF6Y/ref=sr_1_3?crid=1G1K0ADSV9ZUL&dib=eyJ2IjoiMSJ9.e7Rdt-C9sFHZ94s0YCWyMcIahSZ_FcMe8yDoXE3OVLXY5nra8Eh9DTi1O-oxTCmN4ybJncn4pFf-gvapmWlMFVG6auIJJTd6TtPowIzT33bB7e26qMWz2Jh-dqmatKS4fpvzQuzic_-9OF4hqCMK5T4vMyz56VZp7ZXbDyh-pcb8paoSd8Cm0AygvRotHPMAN9IBRE3Qc-Jge9wcw5VCG9Knmm576jbeQc7EFQLytsM.UTimK7-4vJV1QZbw4Q0xIsW7qZISYrlh_K3Za2lueXA&dib_tag=se&keywords=3gt%2B60t%2Bpulley&qid=1783757353&sprefix=3gt%2B60t%2Bpulley%2Caps%2C249&sr=8-3&th=1
16T spline pulleys 15mm width,2,30,Drive pulley for falconXY drive,These fit the proprietary high load falcon 500 spline.,https://wcproducts.com/products/wcp-0318
Neoprene high temp closed loop gt3 3gt pulleys,2,30,Ultra high torque belts for reduction system ,"19mm, gt3 3gt",https://shop.sdp-si.com/a36r53m064090.html
Square aluminum tube,1,25,X axis beam,"500mm, originally meant to use high-temp carbon fiber tube however they are too expensive. ",https://www.aliexpress.us/item/3256807148402739.html?spm=a2g0o.productlist.main.3.247dDgsGDgsGxF&algo_pvid=43587601-aa41-41ac-8807-d3ce82219976&algo_exp_id=43587601-aa41-41ac-8807-d3ce82219976-2&pdp_ext_f=%7B%22order%22%3A%22572%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2131.46%218.81%21%21%21212.31%2159.45%21%402101e8f317837594919208174e1615%2112000040315323536%21sea%21US%213026219538%21X%211%210%21n_tag%3A-29919%3Bd%3A69f49312%3Bm03_new_user%3A-29895&curPageLogUid=LIAKXEIEbUh7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007334717491%7C_p_origin_prod%3A
Panasonic solid state relays,2,45,High frequency switching to bed and chamber heaters,"I'd prefer omron, but we gotta save money.  If someone sends me an aliexpress link with a random china relay telling me it's cheaper i will kill them. mains power is no joke, and it's gonna be real fun when a relay fails closed and my printer decides it identifies as a kitchen range.",https://west3d.com/products/panasonic-aqa211vl-15a-solid-state-relay-ssr?_pos=2&_sid=9cd55293f&_ss=r
MT6835 encoder,2,15,"High resolution, super high precision absolute encoder for FOC algorithm of falcon 500 motor",,https://www.aliexpress.us/item/3256808989767803.html?spm=a2g0o.productlist.main.41.33a313cbflu3ZL&algo_pvid=81dd0b87-0694-4951-b3f3-bddb80b8d8fd&algo_exp_id=81dd0b87-0694-4951-b3f3-bddb80b8d8fd-38&pdp_ext_f=%7B%22order%22%3A%22137%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.00%214.00%21%21%217.00%214.00%21%40210319b017837607569293257e95d4%2112000048202152251%21sea%21US%213026219538%21X%211%210%21n_tag%3A-29919%3Bd%3A69f49312%3Bm03_new_user%3A-29895%3BpisId%3A5000000204411062&curPageLogUid=y4qUQHCuXzCH&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009176082555%7C_p_origin_prod%3A
,353,1162.15,,,
